type,start,end,_end,title,description,category,project,keyword
Writings,1947-03-00,1956-00-00,,Sergei Eisenstein writes his essay On Stereocinema,Sergei Eisenstein writes his essay On Stereocinema.,Writing and Teaching,,Thoughts on Space Film
Cinema,1947-03-00,1956-00-00,,Sergei Eisenstein begins to resume work on Ivan the Terrible II.,Sergei Eisenstein begins to resume work on Ivan the Terrible II.,Cinema and Theatre,Ivan Groznyj;Ivan Groznyj II,Ivan Groznyj II
Writings,1947-03-19,1957-00-00,,Gives a lecture on the interrelationship between color and music. ,At VGIK Sergei Eisenstein gives a lecture on the interrelationship between color and music using the example of Ivan the Terrible II.,Writing and Teaching,Ivan Groznyj;Ivan Groznyj II,Ivan Groznyj II;VGIK
Cinema,1947-04-14,1958-00-00,,Sergei Eisenstein gives American reporters a telephone interview on the eve of the American premiere of Ivan the Terrible,"On the eve of the American premiere of Ivan the Terrible, Sergei Eisenstein gives American reporters a telephone interview. He speaks with Leyda, Henry Wadsworth Longfellow Dana, George Kraska and others and hopes to complete the revision of the second part of Ivan the Terrible by October.",Cinema and Theatre,Ivan Groznyj;Ivan Groznyj II,Ivan Groznyj;H. W. L. Dana;George Kraska;Jay Leyda
Cinema,1947-04-22,1958-00-00,,Sergei Eisenstein makes drafts for the ballet project Picque Dame based on the narrative by Aleskandr Puškin.,Sergei Eisenstein makes drafts for the ballet project Picque Dame based on the narrative by Aleskandr Puškin.,Cinema and Theatre,Picque Dame,Picque Dame;Puškin
Writings,1947-05-00,1958-00-00,,Sergei Eisenstein begins the theoretical investigation Pushkin and Gogol,Sergei Eisenstein begins the theoretical investigation Pushkin and Gogol.,Writing and Teaching,Puškin and Gogol,Puškin and Gogol
Writings,1947-00-00,1958-00-00,,Sergei Eisenstein corresponds with Jay Leyda about the publication of a second book.,Over the summer Sergei Eisenstein corresponds with Jay Leyda about the publication of a second book.,Writing and Teaching,,Jay Leyda
Biography,1947-06-19,1959-00-00,,Appointment as director of the film section of the Institute of Art History at the Academy of Sciences of the Soviet Union.,Appointment as director of the film section of the Institute of Art History at the Academy of Sciences of the Soviet Union.,Biography and Personality;Writing and Teaching,,Institute of Art History at the Academy of Sciences of the USSR
Biography,1947-09-00,1960-00-00,,Louis Aragon visits Sergei Eisenstein on his dacha in early september.,Louis Aragon visits Sergei Eisenstein on his dacha in early september.,Biography and Personality,,Louis Aragon
Biography,1947-10-00,1961-00-00,,"Under the chairmanship of Sergei Eisenstein, opening of the cinematographic department at the Institute of the History of Arts at the Academy of Sciences.",Opening of the cinematographic department at the Institute of the History of Arts at the Academy of Sciences under the chairmanship of Sergei Eisenstein.,Biography and Personality;Writing and Teaching,,Institute of the History of Arts at the Academy of Sciences;cinematographic department 
Writings,1947-11-00,1964-00-00,,Jay Leyda sends Sergei Eisenstein an edition plan for the second book.,Leyda sends Sergei Eisenstein an edition plan for the second book.,Writing and Teaching,,Jay Leyda
Writings,1947-11-07,1964-00-00,,Sergei Eisenstein writes the essay Spectator-Creator,Sergei Eisenstein writes the essay Spectator-Creator. He examines the different ways in which the viewer can influence film production in capitalist and socialist countries.,Writing and Teaching,,The spectator as co-creator
Writings,1947-11-19,1965-00-00,1947-11-22,Sergei Eisenstein outlines the layout of a lecture cycle on the psychology of art for students of Moscow University.,Sergei Eisenstein outlines the layout of a lecture cycle on the psychology of art for students of Moscow University.,Writing and Teaching,,Psychology of Art;Moscow University
Writings,1947-12-04,1965-00-00,,Sergei Eisenstein telegraphs Jay Leyla his agreement for the title of his collection of essays Film Form.,Sergei Eisenstein telegraphs Jay Leyla his agreement for the title of his collection of essays Film Form,Writing and Teaching,,Film Form;Jay Leyda
Biography,1948-01-00,1965-00-00,1948-03-00,"Sergei Eisenstein receives an exit permit for a stay in Prague, Paris and London","In the beginning of the year Sergei Eisenstein receives an exit permit for a stay in Prague, Paris and London. Because of his bad state of health the trip is postponed to March.",Biography and Personality,,Health Issues;Travels
Writings,1948-01-19,1966-00-00,1948-01-21,Sergei Eisenstein writes a research paper about questions of the Mise-en-scène.,Sergei Eisenstein writes a research paper about questions of the Mise-en-scène.,Writing and Teaching,,Mise-en-scène
Biography,1948-01-23,1967-00-00,,50th birthday of Sergei Eisenstein.,Sergei Eisensteins 50th birthday.,Biography and Personality,,Birthday
Biography,1948-02-09,1967-00-00,,Grigoriy Aleksandrov visits Sergei Eisenstein.,Around eight oclock in the evening Grigoriy Aleksandrov visits Sergei Eisenstein. They talk about a book planned by Aleksandrov and agree that Sergei Eisenstein will write a preface to it. Sergei Eisenstein complains about breathing difficulties.,Biography and Personality;Writing and Teaching,,Grigori Aleksandrov;Health Issues
Writings,1948-02-10,1967-00-00,,Sergei Eisenstein begins to write a letter about color film for the new edition of Lev Kulešovs The Basics of Film Direction.,"For the new edition of Lev Kulešovs The Basics of Film Direction, Sergei Eisenstein begins to write a letter about color film.",Writing and Teaching,,Kulešov;Basics of Film Directing
Cinema,1948-02-10,1967-00-00,,Sergei Eisenstein writes a sketch for the Ivan the Terrible project.,Sergei Eisenstein writes a sketch for the Ivan the Terrible project.,Cinema and Theatre,Ivan Groznyj;Ivan Groznyj II,Ivan Groznyj
Biography,1948-02-10,1968-00-00,,Sergei Eisenstein suffers another heart attack whilst writing.,"While writing, Sergei Eisenstein suffers another heart attack. The black pencil with which Sergei Eisenstein writes slips over the paper until the words ""Motherland"" are written. After Sergei Eisenstein has obviously taken a medicine, he notes with a red pencil: ""At that moment I had a heart attack. Here is the trace in the handwriting. 10. 2. 48."" Sergei Eisenstein continues to work and writes two more pages. There are also dated notes from February 10th about an investigation on Pushkin and Gogol.",Biography and Personality;Cinema and Theatre;Writing and Teaching,,Puškin and Gogol;Health Issues. Heart Attack;Motherland
Biography,1948-02-11,1968-00-00,,"After another heart attack, Sergei Eisenstein dies in the early morning.","After another heart attack, Sergei Eisenstein dies in the early morning of February 11.",Biography and Personality,,Death
Biography,1948-02-13,1968-00-00,,Buried at Novodevichy Cemetery in Moscow.,Sergej M. Sergei Eisenstein is buried at the Novodevichy Cemetery in Moscow.,Biography and Personality,,Burial;Novo-Deviči cemetery
Cinema,1950-00-00,1968-00-00,,Battleship Potemkin is scored by the composer Nikolaj Krjukov in the Moscow Mosfilm studio. Sound direction: Sergei Kazakov.,Battleship Potemkin is scored by the composer Nikolaj Krjukov in the Moscow Mosfilm studio. Sound direction: Sergei Kazakov.,Cinema and Theatre,,Battleship Potemkin;Mosfilm Studios
Writings,1956-00-00,1969-00-00,,The Soviet film scholar R. Jurenev edits a one-volume selected edition of Sergei Eisensteins theoretical writings: Izbrannye stati. (Selected Essays).,The Soviet film scholar R. Jurenev edits a one-volume selected edition of Sergei Eisensteins theoretical writings: Izbrannye stati. (Selected Essays).,Writing and Teaching,,R. Jurenev;Izbrannye stat'i
Graphic,1956-00-00,1969-00-00,,A first exhibition of Sergei Eisensteins drawings is opened at the Central House of Artists in Moscow.,"A first exhibition of Sergei Eisensteins drawings is opened at the Central House of Artists in Moscow, which is later shown in Riga, Warsaw, Berlin, Paris, London, The Hague, Vienna, Leverkusen, Milan and other cities.",Graphic Art,,Exhibition;Central House of Artists;Legacy;Post-Mortem;Drawing
Biography,1957-00-00,1970-00-00,,Film scholarly Eisenstein-conference in Warsaw.,Film scholarly Eisenstein-conference in Warsaw.,Biography and Personality;Cinema and Theatre;Writing and Teaching,,Legacy;Post-Mortem;Film scholarly Eisenstein-conference
Biography,1958-00-00,1972-00-00,,"On the occasion of Sergei Eisensteins 60th birthday, a tribute to his work is held in the Moscow Central House of Film.","On the occasion of Sergei Eisensteins 60th birthday, a tribute to his work is held in the Moscow Central House of Film.",Biography and Personality;Cinema and Theatre,,tribute;Moscow Central House of Film;Legacy;Post-Mortem
Cinema,1958-00-00,1972-00-00,,Ivan the Terrible II comes to the movie theaters.,Ivan the Terrible II comes to the movie theaters.,Cinema and Theatre,Ivan Groznyj;Ivan Groznyj II,Legacy;Post-Mortem;Ivan Groznyj II
Biography,1958-00-00,1973-00-00,,A biographical Eisenstein film is developed based on a script by R. Jurenev and directed by V. Katanjan.,In the Central Studio for Documentary Film a biographical Eisenstein film is developed based on a script by R. Jurenev and directed by V. Katanjan.,Biography and Personality;Cinema and Theatre,,Legacy;Post-Mortem;R. Jurenev;V. Katanjan;Central Studio for Documentary Film;
Cinema,1958-00-00,1973-00-00,,Battleship Potemkin is ranked by 117 film critics from all over the world among the twelve best feature films of all time.,At the Brussels Worlds Fair Battleship Potemkin is ranked by 117 film critics from all over the world among the twelve best feature films of all time.,Cinema and Theatre,Battleship Potemkin,Legacy;Post-Mortem;Award;Brussels World's Fair;Battleship Potemkin;twelve best feature films of all time
Biography,1959-00-00,1973-00-00,,"International Eisenstein-Conference at the Academy of Arts, Berlin, GDR","International Eisenstein-Conference at the Academy of Arts, Berlin, GDR",Biography and Personality;Cinema and Theatre,,International Eisenstein-Conference;Legacy;Post-Mortem
Writings,1960-00-00,1973-00-00,,The first German Eisenstein edition is published in the GDR.,The first German Eisenstein edition is published in the GDR.,Writing and Teaching,,GDR;Legacy;Post-Mortem
Graphic,1961-00-00,1974-00-00,,Pera Ataševa edits a first album with Sergei Eisenstein drawings.,Pera Ataševa edits a first album with Sergei Eisenstein drawings.,Graphic Art,,Pera Ataševa;Legacy;Post-Mortem
Writings,1964-00-00,1974-00-00,,The first volume of the six-volume Soviet Eisenstein edition is published.,The first volume of the six-volume Soviet Eisenstein edition is published: Izbrannye proizvedenij v sesti tomach (Selected Works in Six Volumes).,Writing and Teaching,,Izbrannye proizvedenij v sesti tomach;Selected Works in Six Volumes;Legacy;Post-Mortem
Cinema,1964-00-00,,,The General Line/ The Old and the New is declared one of the twelve best documentary films of all time in an international critics survey.,"In Mannheim, The General Line/ The Old and the New is declared one of the twelve best documentary films of all time in an international critics survey.",Cinema and Theatre,,Legacy;Post-Mortem;Die Generallinie;The Old and the New;twelve best documentary films of all time;international critics' survey
Biography,1965-00-00,,,"The Association of Soviet Filmmakers builds a Sergei Eisenstein tomb at the Novodevichy Cemetery, Moscow.","The Association of Soviet Filmmakers builds a Sergei Eisenstein tomb at the Novodevichy Cemetery, Moscow.",Biography and Personality,,Legacy;Post-Mortem;Association of Soviet Filmmakers;Tomb;Novo-Deviči cemetery
Biography,1965-00-00,,,Sergei Eisensteins apartment and his library are turned into the Eisenstein Museum.,"After the death of Sergei Eisensteins widow Pera Ataševa, Eisensteins apartment and his library are turned into the Eisenstein Museum.",Biography and Personality;Cinema and Theatre;Writing and Teaching;Graphic Art;Apartment,,Pera Ataševa;Eisenstein Museum;Legacy;Post-Mortem;WIfe;Widow
